IngredientID,Name,A,B,C,D,E,(Base) Price,Taste,Touch,Smell,Sight,Sound,Type,Rarity,Location,magimin summary,Total Magimin,Magimin Balance,Magimin Ratio,Any,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
15,Basilisk's Cornea,0,22,0,0,0,54,5,5,0,0,0,Flesh,Uncommon,Dragon Oasis,0:22:0:0:0,22,0:1:0:0:0,0.407,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
16,Bedazzled Custard,0,0,44,0,22,95,0,0,0,5,0,Slime,Common,Dragon Oasis,0:0:44:0:22,66,0:0:2:0:1,0.695,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
17,Bioplasm,0,48,32,16,0,125,0,0,0,-5,5,Essences,Rare,Sulfuric Falls,0:48:32:16:0,96,0:3:2:1:0,0.768,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
18,Blackfrost Lobster,0,0,0,0,44,104,0,0,5,0,0,Fish,Uncommon,Arctic,0:0:0:0:44,44,0:0:0:0:1,0.423,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
19,Blackgold Ore,84,84,0,0,42,256,0,0,0,0,-5,Ores,Uncommon,Magical Wasteland,84:84:0:0:42,210,2:2:0:0:1,0.820,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
20,Blightroach,0,42,42,42,0,185,0,0,0,0,0,Bug,Common,Magical Wasteland,0:42:42:42:0,126,0:1:1:1:0,0.681,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
21,Body Snatcher's Sloughed Skin,0,0,0,66,22,132,0,0,0,0,0,Flesh,Rare,Crater,0:0:0:66:22,88,0:0:0:3:1,0.667,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
22,Bog Beet,0,27,0,0,0,27,-5,0,0,0,5,Plant,Rare,Mushroom Mire,0:27:0:0:0,27,0:1:0:0:0,1.000,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
23,Bogeyberry,30,0,0,0,0,30,0,0,0,0,0,Fruit,Common,Storm Plains,30:0:0:0:0,30,1:0:0:0:0,1.000,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
24,Bramble Rose,16,0,0,0,0,45,0,5,0,0,5,Flower,Uncommon,Sulfuric Falls,16:0:0:0:0,16,1:0:0:0:0,0.356,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
25,Bubble Ooze,9,9,12,12,0,60,0,0,0,0,0,Slime,Epic,Mushroom Mire,9:9:12:12:0,42,3:3:4:4:0,0.700,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
26,Buoyant Blowfish,96,0,48,0,0,138,0,0,0,-5,-5,Fish,Uncommon,Ice Craggs,96:0:48:0:0,144,2:0:1:0:0,1.043,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
27,Celestial Ore,0,0,16,0,0,45,0,0,5,5,0,Ores,Uncommon,Ice Craggs,0:0:16:0:0,16,0:0:1:0:0,0.356,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
28,Charredonnay,48,0,48,24,24,260,-5,0,0,0,0,Fruit,Rare,Sulfuric Falls,48:0:48:24:24,144,2:0:2:1:1,0.554,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
29,Chimera Waste,0,0,64,32,0,118,0,0,-5,0,0,Essences,Common,Crystalline Forest,0:0:64:32:0,96,0:0:2:1:0,0.814,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
30,Cobweb Crayfish,10,0,20,0,0,48,0,0,5,0,0,Fish,Rare,Shadow Steppe,10:0:20:0:0,30,1:0:2:0:0,0.625,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
31,Copper Dollop,15,15,15,15,0,95,0,0,0,0,0,Slime,Rare,Storm Plains,15:15:15:15:0,60,1:1:1:1:0,0.632,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
32,Cosmic Cassava,0,66,0,0,0,82,-5,0,0,0,5,Plant,Common,Crater,0:66:0:0:0,66,0:1:0:0:0,0.805,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
33,Cosmic Quartz,66,33,0,66,0,204,0,0,0,0,-5,Gem,Uncommon,Crater,66:33:0:66:0,165,2:1:0:2:0,0.809,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
34,Courtier's Orchid,8,24,24,0,0,72,0,0,5,0,0,Flower,Epic,Ice Craggs,8:24:24:0:0,56,1:3:3:0:0,0.778,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35,Crag Crab,0,0,0,0,32,75,0,0,5,0,0,Fish,Rare,Ice Craggs,0:0:0:0:32,32,0:0:0:0:1,0.427,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
36,Creeping Mildew,16,0,0,0,48,92,0,0,0,0,0,Fungus,Uncommon,Sulfuric Falls,16:0:0:0:48,64,1:0:0:0:3,0.696,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
37,Crocodile Tooth,6,0,12,0,0,20,0,0,0,0,0,Bone,Common,Mushroom Mire,6:0:12:0:0,18,1:0:2:0:0,0.900,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
38,Cubic Ooze,3,3,3,0,0,16,0,0,0,0,0,Slime,Rare,Enchanted Forest,3:3:3:0:0,9,1:1:1:0:0,0.563,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
39,Cyclops Skull,0,0,42,42,42,200,0,0,0,0,0,Bone,Common,Magical Wasteland,0:0:42:42:42,126,0:0:1:1:1,0.630,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
40,Daredevil Pepper,0,32,0,32,0,90,0,0,0,0,0,Plant,Common,Crystalline Forest,0:32:0:32:0,64,0:1:0:1:0,0.711,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
41,Daydream Pomme,0,24,8,0,0,75,0,0,0,5,5,Fruit,Rare,Sulfuric Falls,0:24:8:0:0,32,0:3:1:0:0,0.427,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
42,Dazzling Mana,42,42,42,42,42,345,0,5,5,0,0,Pure Mana,Epic,Magical Wasteland,42:42:42:42:42,210,1:1:1:1:1,0.609,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
43,Death's Embrace,33,33,33,0,33,196,0,0,0,0,0,Plant,Epic,Arctic,33:33:33:0:33,132,1:1:1:0:1,0.673,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
44,Delirium Shroom,0,0,48,0,0,63,5,0,0,0,-5,Fungus,Common,Crystalline Forest,0:0:48:0:0,48,0:0:1:0:0,0.762,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
45,Desert Metal,0,12,0,0,0,25,0,5,0,0,0,Ores,Common,Bone Wastes,0:12:0:0:0,12,0:1:0:0:0,0.480,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
46,Diamond Salt,33,0,0,0,11,85,5,0,0,5,0,Mineral,Uncommon,Arctic,33:0:0:0:11,44,3:0:0:0:1,0.518,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
47,Direwolf's-Breath Diamond,0,44,44,0,0,118,0,0,0,0,0,Gem,Common,Arctic,0:44:44:0:0,88,0:1:1:0:0,0.746,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
48,Djinn Blossom,24,0,0,8,0,68,5,0,5,0,0,Flower,Uncommon,Crystalline Forest,24:0:0:8:0,32,3:0:0:1:0,0.471,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
49,Dragon Dung,0,0,88,44,0,173,0,0,-5,0,0,Essences,Uncommon,Dragon Oasis,0:0:88:44:0,132,0:0:2:1:0,0.763,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
50,Dragon Pheromones,0,0,0,0,88,151,0,0,-5,0,0,Essences,Uncommon,Dragon Oasis,0:0:0:0:88,88,0:0:0:0:1,0.583,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
51,Dragon Tear,0,33,33,11,0,118,0,5,0,0,0,Essences,Uncommon,Dragon Oasis,0:33:33:11:0,77,0:3:3:1:0,0.653,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
52,Dragonblood Tick,132,66,0,0,0,174,0,-5,0,0,-5,Bug,Uncommon,Dragon Oasis,132:66:0:0:0,198,2:1:0:0:0,1.138,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
53,Dragonbreath Blossom,33,0,0,11,0,76,5,0,5,0,0,Flower,Uncommon,Dragon Oasis,33:0:0:11:0,44,3:0:0:1:0,0.579,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
54,Dragonegg Citrus,0,22,0,0,66,124,0,0,0,0,0,Fruit,Uncommon,Dragon Oasis,0:22:0:0:66,88,0:1:0:0:3,0.710,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
55,Dragonfire Pearl,0,0,0,44,0,76,0,0,0,5,0,Gem,Rare,Dragon Oasis,0:0:0:44:0,44,0:0:0:1:0,0.579,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
56,Draugr's Tibia,0,0,55,55,22,184,0,0,0,0,0,Bone,Uncommon,Arctic,0:0:55:55:22,132,0:0:5:5:2,0.717,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
57,Dropspider's Shadow,0,0,30,20,10,90,0,0,0,0,0,Essences,Rare,Shadow Steppe,0:0:30:20:10,60,0:0:3:2:1,0.667,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
58,Dwarf Kraken,40,0,0,0,0,30,0,-5,0,0,0,Fish,Common,Ocean Coasts,40:0:0:0:0,40,1:0:0:0:0,1.333,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
59,Ectoplasm,0,70,70,28,0,226,0,0,0,-5,5,Essences,Rare,Magical Wasteland,0:70:70:28:0,168,0:5:5:2:0,0.743,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
60,Elder Being's Tusk,0,66,0,0,22,114,0,-5,0,0,5,Bone,Uncommon,Crater,0:66:0:0:22,88,0:3:0:0:1,0.772,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
61,Electrocution Eel,10,10,10,0,0,45,0,0,0,5,0,Fish,Uncommon,Storm Plains,10:10:10:0:0,30,1:1:1:0:0,0.667,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
62,Ember of Mana,24,24,24,24,24,165,0,0,0,0,0,Pure Mana,Epic,Ice Craggs,24:24:24:24:24,120,1:1:1:1:1,0.727,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
63,Eye of Newt,0,16,0,0,0,34,5,5,0,0,0,Flesh,Uncommon,Crystalline Forest,0:16:0:0:0,16,0:1:0:0:0,0.471,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
64,Fairy Flower Bloom,20,0,0,0,0,35,0,0,5,0,0,Flower,Common,Shadow Steppe,20:0:0:0:0,20,1:0:0:0:0,0.571,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
65,Fairy Flower Bud,12,0,0,0,0,23,0,0,5,0,0,Flower,Common,Bone Wastes,12:0:0:0:0,12,1:0:0:0:0,0.522,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
66,Fairy Flower Bulb,4,0,0,0,0,14,0,0,5,0,0,Flower,Common,Enchanted Forest,4:0:0:0:0,4,1:0:0:0:0,0.286,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
67,Feathered Gelatin,0,0,0,48,0,62,0,5,-5,0,0,Slime,Uncommon,Ice Craggs,0:0:0:48:0,48,0:0:0:1:0,0.774,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
68,Feyberry,6,0,0,0,0,4,0,0,0,0,0,Fruit,Common,Enchanted Forest,6:0:0:0:0,6,1:0:0:0:0,1.500,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
69,Figment Pomme,0,18,6,0,0,26,0,0,0,0,0,Fruit,Uncommon,Bone Wastes,0:18:6:0:0,24,0:3:1:0:0,0.923,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
70,Fire Flower,40,0,0,20,0,55,0,0,-5,0,0,Flower,Rare,Storm Plains,40:0:0:20:0,60,2:0:0:1:0,1.091,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
71,Frog Leg,0,0,24,12,0,33,0,0,0,-5,0,Flesh,Epic,Bone Wastes,0:0:24:12:0,36,0:0:2:1:0,1.091,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
72,Frost Hopper,33,33,44,44,0,196,5,-5,0,0,0,Bug,Common,Arctic,33:33:44:44:0,154,3:3:4:4:0,0.786,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
73,Fulgurite Ore,0,0,0,30,0,40,0,0,0,0,0,Ores,Uncommon,Storm Plains,0:0:0:30:0,30,0:0:0:1:0,0.750,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
74,Funeral Pyre Enoki,88,88,44,44,0,280,0,-5,-5,0,0,Fungus,Epic,Dragon Oasis,88:88:44:44:0,264,2:2:1:1:0,0.943,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
75,Geode Citrus,0,16,0,0,48,94,0,0,0,0,0,Fruit,Uncommon,Crystalline Forest,0:16:0:0:48,64,0:1:0:0:3,0.681,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
