RecipeID,Recipe Name,Tier,Recipe Summary,Brew Summary,Amount of Ingredients,Amount of Potions,Total Magimin,Rarity,Stars,Cost,Value,Profit,Profit Ratio,Unique ingredient string,Unique Ingredient ID's,,,,,,,,,,,,,,count unique ingredients,,,,,,,,,,,,,
perf12,Fire Tonic,1,13x Amphitere's Shadow,6x Masterwork Fire Tonic 4*,13,6,1144,Masterwork,4,1482,9976,8494,5.731,6,6,,,,,,,,,,,,,,13,0,0,0,0,0,0,0,0,0,0,0,0,0
perf13,Fire Tonic,1,14x Amphitere's Shadow,7x Masterwork Fire Tonic 5*,14,7,1232,Masterwork,5,1596,13093,11497,7.204,6,6,,,,,,,,,,,,,,14,0,0,0,0,0,0,0,0,0,0,0,0,0
perf14,Ice Tonic,2,2x Armored Pudding,1x Greater Ice Tonic 1*,2,1,176,Greater,1,230,114,-116,-0.505,10,10,,,,,,,,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0
perf15,Ice Tonic,2,3x Armored Pudding,1x Greater Ice Tonic 5*,3,1,264,Greater,5,345,182,-163,-0.471,10,10,,,,,,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0
perf16,Ice Tonic,2,4x Armored Pudding,2x Grand Ice Tonic 2*,4,2,352,Grand,2,460,577,117,0.254,10,10,,,,,,,,,,,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0
perf17,Ice Tonic,2,5x Armored Pudding,2x Grand Ice Tonic 5*,5,2,440,Grand,5,575,821,246,0.428,10,10,,,,,,,,,,,,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0
perf18,Ice Tonic,2,6x Armored Pudding,3x Superior Ice Tonic 1*,6,3,528,Superior,1,690,1730,1040,1.507,10,10,,,,,,,,,,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0
perf19,Ice Tonic,2,7x Armored Pudding,3x Superior Ice Tonic 3*,7,3,616,Superior,3,805,2189,1384,1.720,10,10,,,,,,,,,,,,,,7,0,0,0,0,0,0,0,0,0,0,0,0,0
perf20,Ice Tonic,2,8x Armored Pudding,4x Superior Ice Tonic 5*,8,4,704,Superior,5,920,3695,2775,3.016,10,10,,,,,,,,,,,,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0
perf21,Ice Tonic,2,9x Armored Pudding,4x Masterwork Ice Tonic 0*,9,4,792,Masterwork,0,1035,4613,3578,3.457,10,10,,,,,,,,,,,,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0
perf22,Ice Tonic,2,10x Armored Pudding,5x Masterwork Ice Tonic 2*,10,5,880,Masterwork,2,1150,7298,6148,5.346,10,10,,,,,,,,,,,,,,10,0,0,0,0,0,0,0,0,0,0,0,0,0
perf23,Ice Tonic,2,11x Armored Pudding,5x Masterwork Ice Tonic 3*,11,5,968,Masterwork,3,1265,8211,6946,5.491,10,10,,,,,,,,,,,,,,11,0,0,0,0,0,0,0,0,0,0,0,0,0
perf24,Ice Tonic,2,12x Armored Pudding,6x Masterwork Ice Tonic 3*,12,6,1056,Masterwork,3,1380,9853,8473,6.140,10,10,,,,,,,,,,,,,,12,0,0,0,0,0,0,0,0,0,0,0,0,0
perf25,Ice Tonic,2,13x Armored Pudding,6x Masterwork Ice Tonic 4*,13,6,1144,Masterwork,4,1495,11084,9589,6.414,10,10,,,,,,,,,,,,,,13,0,0,0,0,0,0,0,0,0,0,0,0,0
perf26,Ice Tonic,2,14x Armored Pudding,7x Masterwork Ice Tonic 5*,14,7,1232,Masterwork,5,1610,14548,12938,8.036,10,10,,,,,,,,,,,,,,14,0,0,0,0,0,0,0,0,0,0,0,0,0
perf27,Thunder Tonic,2,2x Daredevil Pepper,1x Common Thunder Tonic 4*,2,1,128,Common,4,180,79,-101,-0.560,40,40,,,,,,,,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0
perf28,Thunder Tonic,2,3x Daredevil Pepper,1x Greater Thunder Tonic 1*,3,1,192,Greater,1,270,125,-145,-0.536,40,40,,,,,,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0
perf29,Thunder Tonic,2,4x Daredevil Pepper,2x Greater Thunder Tonic 4*,4,2,256,Greater,4,360,357,-3,-0.009,40,40,,,,,,,,,,,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0
perf30,Thunder Tonic,2,5x Daredevil Pepper,2x Grand Thunder Tonic 1*,5,2,320,Grand,1,450,564,114,0.253,40,40,,,,,,,,,,,,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0
perf31,Thunder Tonic,2,6x Daredevil Pepper,3x Grand Thunder Tonic 3*,6,3,384,Grand,3,540,1070,530,0.982,40,40,,,,,,,,,,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0
perf32,Thunder Tonic,2,7x Daredevil Pepper,3x Grand Thunder Tonic 5*,7,3,448,Grand,5,630,1355,725,1.150,40,40,,,,,,,,,,,,,,7,0,0,0,0,0,0,0,0,0,0,0,0,0
perf33,Thunder Tonic,2,8x Daredevil Pepper,4x Superior Thunder Tonic 1*,8,4,512,Superior,1,720,2537,1817,2.524,40,40,,,,,,,,,,,,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0
perf34,Thunder Tonic,2,9x Daredevil Pepper,4x Superior Thunder Tonic 2*,9,4,576,Superior,2,810,2854,2044,2.524,40,40,,,,,,,,,,,,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0
perf35,Thunder Tonic,2,10x Daredevil Pepper,5x Superior Thunder Tonic 4*,10,5,640,Superior,4,900,4516,3616,4.018,40,40,,,,,,,,,,,,,,10,0,0,0,0,0,0,0,0,0,0,0,0,0
perf36,Thunder Tonic,2,11x Daredevil Pepper,5x Superior Thunder Tonic 5*,11,5,704,Superior,5,990,5080,4090,4.132,40,40,,,,,,,,,,,,,,11,0,0,0,0,0,0,0,0,0,0,0,0,0
perf37,Thunder Tonic,2,12x Daredevil Pepper,6x Masterwork Thunder Tonic 0*,12,6,768,Masterwork,0,1080,7612,6532,6.048,40,40,,,,,,,,,,,,,,12,0,0,0,0,0,0,0,0,0,0,0,0,0
perf38,Thunder Tonic,2,13x Daredevil Pepper,6x Masterwork Thunder Tonic 1*,13,6,832,Masterwork,1,1170,8563,7393,6.319,40,40,,,,,,,,,,,,,,13,0,0,0,0,0,0,0,0,0,0,0,0,0
perf39,Thunder Tonic,2,14x Daredevil Pepper,7x Masterwork Thunder Tonic 2*,14,7,896,Masterwork,2,1260,11239,9979,7.920,40,40,,,,,,,,,,,,,,14,0,0,0,0,0,0,0,0,0,0,0,0,0
perf40,Mana Potion,1,2x Direwolf's-Breath Diamond,1x Greater Mana Potion 1*,2,1,176,Greater,1,236,114,-122,-0.517,47,47,,,,,,,,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0
perf41,Mana Potion,1,3x Direwolf's-Breath Diamond,1x Greater Mana Potion 5*,3,1,264,Greater,5,354,182,-172,-0.485,47,47,,,,,,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0
perf42,Mana Potion,1,4x Direwolf's-Breath Diamond,2x Grand Mana Potion 2*,4,2,352,Grand,2,472,577,105,0.222,47,47,,,,,,,,,,,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0
perf43,Mana Potion,1,5x Direwolf's-Breath Diamond,2x Grand Mana Potion 5*,5,2,440,Grand,5,590,821,231,0.392,47,47,,,,,,,,,,,,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0
perf44,Mana Potion,1,6x Direwolf's-Breath Diamond,3x Superior Mana Potion 1*,6,3,528,Superior,1,708,1730,1022,1.443,47,47,,,,,,,,,,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0
perf45,Mana Potion,1,7x Direwolf's-Breath Diamond,3x Superior Mana Potion 3*,7,3,616,Superior,3,826,2189,1363,1.651,47,47,,,,,,,,,,,,,,7,0,0,0,0,0,0,0,0,0,0,0,0,0
perf46,Mana Potion,1,8x Direwolf's-Breath Diamond,4x Superior Mana Potion 5*,8,4,704,Superior,5,944,3695,2751,2.914,47,47,,,,,,,,,,,,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0
perf47,Mana Potion,1,9x Direwolf's-Breath Diamond,4x Masterwork Mana Potion 0*,9,4,792,Masterwork,0,1062,4613,3551,3.344,47,47,,,,,,,,,,,,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0
perf48,Mana Potion,1,10x Direwolf's-Breath Diamond,5x Masterwork Mana Potion 2*,10,5,880,Masterwork,2,1180,7298,6118,5.185,47,47,,,,,,,,,,,,,,10,0,0,0,0,0,0,0,0,0,0,0,0,0
perf49,Mana Potion,1,11x Direwolf's-Breath Diamond,5x Masterwork Mana Potion 3*,11,5,968,Masterwork,3,1298,8211,6913,5.326,47,47,,,,,,,,,,,,,,11,0,0,0,0,0,0,0,0,0,0,0,0,0
perf50,Mana Potion,1,12x Direwolf's-Breath Diamond,6x Masterwork Mana Potion 3*,12,6,1056,Masterwork,3,1416,9853,8437,5.958,47,47,,,,,,,,,,,,,,12,0,0,0,0,0,0,0,0,0,0,0,0,0
perf51,Mana Potion,1,13x Direwolf's-Breath Diamond,6x Masterwork Mana Potion 4*,13,6,1144,Masterwork,4,1534,11084,9550,6.226,47,47,,,,,,,,,,,,,,13,0,0,0,0,0,0,0,0,0,0,0,0,0
perf52,Mana Potion,1,14x Direwolf's-Breath Diamond,7x Masterwork Mana Potion 5*,14,7,1232,Masterwork,5,1652,14548,12896,7.806,47,47,,,,,,,,,,,,,,14,0,0,0,0,0,0,0,0,0,0,0,0,0
perf53,Mana Potion,1,2x Golem's-Eye Diamond,1x Minor Mana Potion 4*,2,1,48,Minor,4,56,32,-24,-0.428,80,80,,,,,,,,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0
perf54,Mana Potion,1,3x Golem's-Eye Diamond,1x Common Mana Potion 0*,3,1,72,Common,0,84,45,-39,-0.464,80,80,,,,,,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0
perf55,Mana Potion,1,4x Golem's-Eye Diamond,2x Common Mana Potion 2*,4,2,96,Common,2,112,114,2,0.017,80,80,,,,,,,,,,,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0
perf56,Mana Potion,1,5x Golem's-Eye Diamond,2x Common Mana Potion 4*,5,2,120,Common,4,140,144,4,0.030,80,80,,,,,,,,,,,,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0
perf57,Mana Potion,1,6x Golem's-Eye Diamond,3x Common Mana Potion 5*,6,3,144,Common,5,168,243,75,0.448,80,80,,,,,,,,,,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0
perf58,Mana Potion,1,7x Golem's-Eye Diamond,3x Greater Mana Potion 0*,7,3,168,Greater,0,196,304,108,0.550,80,80,,,,,,,,,,,,,,7,0,0,0,0,0,0,0,0,0,0,0,0,0
perf59,Mana Potion,1,8x Golem's-Eye Diamond,4x Greater Mana Potion 1*,8,4,192,Greater,1,224,456,232,1.034,80,80,,,,,,,,,,,,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0
perf60,Mana Potion,1,9x Golem's-Eye Diamond,4x Greater Mana Potion 3*,9,4,216,Greater,3,252,577,325,1.288,80,80,,,,,,,,,,,,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0
perf61,Mana Potion,1,10x Golem's-Eye Diamond,5x Greater Mana Potion 4*,10,5,240,Greater,4,280,811,531,1.896,80,80,,,,,,,,,,,,,,10,0,0,0,0,0,0,0,0,0,0,0,0,0
perf62,Mana Potion,1,11x Golem's-Eye Diamond,5x Greater Mana Potion 5*,11,5,264,Greater,5,308,912,604,1.962,80,80,,,,,,,,,,,,,,11,0,0,0,0,0,0,0,0,0,0,0,0,0
perf63,Mana Potion,1,12x Golem's-Eye Diamond,6x Greater Mana Potion 5*,12,6,288,Greater,5,336,1095,759,2.258,80,80,,,,,,,,,,,,,,12,0,0,0,0,0,0,0,0,0,0,0,0,0
perf64,Mana Potion,1,13x Golem's-Eye Diamond,6x Grand Mana Potion 0*,13,6,312,Grand,0,364,1367,1003,2.755,80,80,,,,,,,,,,,,,,13,0,0,0,0,0,0,0,0,0,0,0,0,0
perf65,Mana Potion,1,14x Golem's-Eye Diamond,7x Grand Mana Potion 1*,14,7,336,Grand,1,392,1794,1402,3.577,80,80,,,,,,,,,,,,,,14,0,0,0,0,0,0,0,0,0,0,0,0,0
perf66,Mana Potion,1,2x Griffin's-Whetstone Diamond,1x Common Mana Potion 4*,2,1,128,Common,4,172,72,-100,-0.581,82,82,,,,,,,,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0
perf67,Mana Potion,1,3x Griffin's-Whetstone Diamond,1x Greater Mana Potion 1*,3,1,192,Greater,1,258,114,-144,-0.559,82,82,,,,,,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0
perf68,Mana Potion,1,4x Griffin's-Whetstone Diamond,2x Greater Mana Potion 4*,4,2,256,Greater,4,344,324,-20,-0.057,82,82,,,,,,,,,,,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0
perf69,Mana Potion,1,5x Griffin's-Whetstone Diamond,2x Grand Mana Potion 1*,5,2,320,Grand,1,430,513,83,0.192,82,82,,,,,,,,,,,,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0
perf70,Mana Potion,1,6x Griffin's-Whetstone Diamond,3x Grand Mana Potion 3*,6,3,384,Grand,3,516,973,457,0.886,82,82,,,,,,,,,,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0
perf71,Mana Potion,1,7x Griffin's-Whetstone Diamond,3x Grand Mana Potion 5*,7,3,448,Grand,5,602,1232,630,1.046,82,82,,,,,,,,,,,,,,7,0,0,0,0,0,0,0,0,0,0,0,0,0
perf72,Mana Potion,1,8x Griffin's-Whetstone Diamond,4x Superior Mana Potion 1*,8,4,512,Superior,1,688,2307,1619,2.353,82,82,,,,,,,,,,,,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0
perf73,Mana Potion,1,9x Griffin's-Whetstone Diamond,4x Superior Mana Potion 2*,9,4,576,Superior,2,774,2595,1821,2.353,82,82,,,,,,,,,,,,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0
perf74,Mana Potion,1,10x Griffin's-Whetstone Diamond,5x Superior Mana Potion 4*,10,5,640,Superior,4,860,4105,3245,3.774,82,82,,,,,,,,,,,,,,10,0,0,0,0,0,0,0,0,0,0,0,0,0
perf75,Mana Potion,1,11x Griffin's-Whetstone Diamond,5x Superior Mana Potion 5*,11,5,704,Superior,5,946,4618,3672,3.882,82,82,,,,,,,,,,,,,,11,0,0,0,0,0,0,0,0,0,0,0,0,0
perf76,Mana Potion,1,12x Griffin's-Whetstone Diamond,6x Masterwork Mana Potion 0*,12,6,768,Masterwork,0,1032,6920,5888,5.705,82,82,,,,,,,,,,,,,,12,0,0,0,0,0,0,0,0,0,0,0,0,0
perf77,Mana Potion,1,13x Griffin's-Whetstone Diamond,6x Masterwork Mana Potion 1*,13,6,832,Masterwork,1,1118,7785,6667,5.963,82,82,,,,,,,,,,,,,,13,0,0,0,0,0,0,0,0,0,0,0,0,0
perf78,Mana Potion,1,14x Griffin's-Whetstone Diamond,7x Masterwork Mana Potion 2*,14,7,896,Masterwork,2,1204,10218,9014,7.486,82,82,,,,,,,,,,,,,,14,0,0,0,0,0,0,0,0,0,0,0,0,0
perf79,Fire Tonic,1,2x Kappa Pheromones,1x Minor Fire Tonic 1*,2,1,16,Minor,1,26,20,-6,-0.221,99,99,,,,,,,,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0
perf80,Fire Tonic,1,3x Kappa Pheromones,1x Minor Fire Tonic 2*,3,1,24,Minor,2,39,23,-16,-0.416,99,99,,,,,,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0
perf81,Fire Tonic,1,4x Kappa Pheromones,2x Minor Fire Tonic 3*,4,2,32,Minor,3,52,51,-1,-0.014,99,99,,,,,,,,,,,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0
perf82,Fire Tonic,1,5x Kappa Pheromones,2x Minor Fire Tonic 4*,5,2,40,Minor,4,65,58,-7,-0.113,99,99,,,,,,,,,,,,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0
perf83,Fire Tonic,1,6x Kappa Pheromones,3x Minor Fire Tonic 4*,6,3,48,Minor,4,78,86,8,0.109,99,99,,,,,,,,,,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0
perf84,Fire Tonic,1,7x Kappa Pheromones,3x Minor Fire Tonic 5*,7,3,56,Minor,5,91,97,6,0.069,99,99,,,,,,,,,,,,,,7,0,0,0,0,0,0,0,0,0,0,0,0,0
perf85,Fire Tonic,1,8x Kappa Pheromones,4x Common Fire Tonic 0*,8,4,64,Common,0,104,162,58,0.558,99,99,,,,,,,,,,,,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0
perf86,Fire Tonic,1,9x Kappa Pheromones,4x Common Fire Tonic 0*,9,4,72,Common,0,117,162,45,0.385,99,99,,,,,,,,,,,,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0
perf87,Fire Tonic,1,10x Kappa Pheromones,5x Common Fire Tonic 1*,10,5,80,Common,1,130,228,98,0.752,99,99,,,,,,,,,,,,,,10,0,0,0,0,0,0,0,0,0,0,0,0,0
perf88,Fire Tonic,1,11x Kappa Pheromones,5x Common Fire Tonic 1*,11,5,88,Common,1,143,228,85,0.593,99,99,,,,,,,,,,,,,,11,0,0,0,0,0,0,0,0,0,0,0,0,0
perf89,Fire Tonic,1,12x Kappa Pheromones,6x Common Fire Tonic 2*,12,6,96,Common,2,156,308,152,0.971,99,99,,,,,,,,,,,,,,12,0,0,0,0,0,0,0,0,0,0,0,0,0
perf90,Fire Tonic,1,13x Kappa Pheromones,6x Common Fire Tonic 2*,13,6,104,Common,2,169,308,139,0.820,99,99,,,,,,,,,,,,,,13,0,0,0,0,0,0,0,0,0,0,0,0,0
perf91,Fire Tonic,1,14x Kappa Pheromones,7x Common Fire Tonic 3*,14,7,112,Common,3,182,404,222,1.218,99,99,,,,,,,,,,,,,,14,0,0,0,0,0,0,0,0,0,0,0,0,0
perf92,Health Potion,1,2x Leech Snail's Shell,1x Minor Health Potion 4*,2,1,48,Minor,4,52,26,-26,-0.507,102,102,,,,,,,,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0
perf93,Health Potion,1,3x Leech Snail's Shell,1x Common Health Potion 0*,3,1,72,Common,0,78,36,-42,-0.538,102,102,,,,,,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0
perf94,Health Potion,1,4x Leech Snail's Shell,2x Common Health Potion 2*,4,2,96,Common,2,104,91,-13,-0.124,102,102,,,,,,,,,,,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0
perf95,Health Potion,1,5x Leech Snail's Shell,2x Common Health Potion 4*,5,2,120,Common,4,130,115,-15,-0.113,102,102,,,,,,,,,,,,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0
perf96,Health Potion,1,6x Leech Snail's Shell,3x Common Health Potion 5*,6,3,144,Common,5,156,195,39,0.248,102,102,,,,,,,,,,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0
perf97,Health Potion,1,7x Leech Snail's Shell,3x Greater Health Potion 0*,7,3,168,Greater,0,182,243,61,0.335,102,102,,,,,,,,,,,,,,7,0,0,0,0,0,0,0,0,0,0,0,0,0
perf98,Health Potion,1,8x Leech Snail's Shell,4x Greater Health Potion 1*,8,4,192,Greater,1,208,365,157,0.752,102,102,,,,,,,,,,,,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0
perf99,Health Potion,1,9x Leech Snail's Shell,4x Greater Health Potion 3*,9,4,216,Greater,3,234,461,227,0.971,102,102,,,,,,,,,,,,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0
perf100,Health Potion,1,10x Leech Snail's Shell,5x Greater Health Potion 4*,10,5,240,Greater,4,260,649,389,1.495,102,102,,,,,,,,,,,,,,10,0,0,0,0,0,0,0,0,0,0,0,0,0
perf101,Health Potion,1,11x Leech Snail's Shell,5x Greater Health Potion 5*,11,5,264,Greater,5,286,730,444,1.552,102,102,,,,,,,,,,,,,,11,0,0,0,0,0,0,0,0,0,0,0,0,0
perf102,Health Potion,1,12x Leech Snail's Shell,6x Greater Health Potion 5*,12,6,288,Greater,5,312,876,564,1.807,102,102,,,,,,,,,,,,,,12,0,0,0,0,0,0,0,0,0,0,0,0,0
perf103,Health Potion,1,13x Leech Snail's Shell,6x Grand Health Potion 0*,13,6,312,Grand,0,338,1094,756,2.235,102,102,,,,,,,,,,,,,,13,0,0,0,0,0,0,0,0,0,0,0,0,0
perf104,Health Potion,1,14x Leech Snail's Shell,7x Grand Health Potion 1*,14,7,336,Grand,1,364,1435,1071,2.943,102,102,,,,,,,,,,,,,,14,0,0,0,0,0,0,0,0,0,0,0,0,0
perf105,Fire Tonic,1,2x Nessie Pheromones,1x Common Fire Tonic 1*,2,1,80,Common,1,100,46,-54,-0.544,128,128,,,,,,,,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0
perf106,Fire Tonic,1,3x Nessie Pheromones,1x Common Fire Tonic 4*,3,1,120,Common,4,150,65,-85,-0.568,128,128,,,,,,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0
perf107,Fire Tonic,1,4x Nessie Pheromones,2x Greater Fire Tonic 0*,4,2,160,Greater,0,200,182,-18,-0.089,128,128,,,,,,,,,,,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0
perf108,Fire Tonic,1,5x Nessie Pheromones,2x Greater Fire Tonic 2*,5,2,200,Greater,2,250,231,-19,-0.077,128,128,,,,,,,,,,,,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0
perf109,Fire Tonic,1,6x Nessie Pheromones,3x Greater Fire Tonic 4*,6,3,240,Greater,4,300,438,138,0.460,128,128,,,,,,,,,,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0
perf110,Fire Tonic,1,7x Nessie Pheromones,3x Greater Fire Tonic 5*,7,3,280,Greater,5,350,493,143,0.408,128,128,,,,,,,,,,,,,,7,0,0,0,0,0,0,0,0,0,0,0,0,0
perf111,Fire Tonic,1,8x Nessie Pheromones,4x Grand Fire Tonic 1*,8,4,320,Grand,1,400,923,523,1.307,128,128,,,,,,,,,,,,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0
perf112,Fire Tonic,1,9x Nessie Pheromones,4x Grand Fire Tonic 2*,9,4,360,Grand,2,450,1038,588,1.307,128,128,,,,,,,,,,,,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0
perf113,Fire Tonic,1,10x Nessie Pheromones,5x Grand Fire Tonic 4*,10,5,400,Grand,4,500,1642,1142,2.284,128,128,,,,,,,,,,,,,,10,0,0,0,0,0,0,0,0,0,0,0,0,0
perf114,Fire Tonic,1,11x Nessie Pheromones,5x Grand Fire Tonic 5*,11,5,440,Grand,5,550,1847,1297,2.359,128,128,,,,,,,,,,,,,,11,0,0,0,0,0,0,0,0,0,0,0,0,0
perf115,Fire Tonic,1,12x Nessie Pheromones,6x Superior Fire Tonic 0*,12,6,480,Superior,0,600,2768,2168,3.613,128,128,,,,,,,,,,,,,,12,0,0,0,0,0,0,0,0,0,0,0,0,0
perf116,Fire Tonic,1,13x Nessie Pheromones,6x Superior Fire Tonic 1*,13,6,520,Superior,1,650,3114,2464,3.791,128,128,,,,,,,,,,,,,,13,0,0,0,0,0,0,0,0,0,0,0,0,0
perf117,Fire Tonic,1,14x Nessie Pheromones,7x Superior Fire Tonic 2*,14,7,560,Superior,2,700,4087,3387,4.839,128,128,,,,,,,,,,,,,,14,0,0,0,0,0,0,0,0,0,0,0,0,0
perf118,Fire Tonic,1,2x Ogre's Shadow,1x Common Fire Tonic 4*,2,1,128,Common,4,148,65,-83,-0.562,132,132,,,,,,,,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0
perf119,Fire Tonic,1,3x Ogre's Shadow,1x Greater Fire Tonic 1*,3,1,192,Greater,1,222,103,-119,-0.538,132,132,,,,,,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0
perf120,Fire Tonic,1,4x Ogre's Shadow,2x Greater Fire Tonic 4*,4,2,256,Greater,4,296,292,-4,-0.014,132,132,,,,,,,,,,,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0
perf121,Fire Tonic,1,5x Ogre's Shadow,2x Grand Fire Tonic 1*,5,2,320,Grand,1,370,461,91,0.247,132,132,,,,,,,,,,,,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0
perf122,Fire Tonic,1,6x Ogre's Shadow,3x Grand Fire Tonic 3*,6,3,384,Grand,3,444,876,432,0.972,132,132,,,,,,,,,,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0
